,Title,id,rating
464,Kate,597891,R
465,Fantastic Beasts and Where to Find Them,259316,PG-13
466,The Imitation Game,205596,PG-13
467,GoodFellas,769,R
468,Pacific Rim,68726,PG-13
469,After We Fell,744275,R
470,Shazam!,287947,PG-13
471,Sing,335797,PG
472,Friday,10634,R
473,Radical,1058694,PG-13
474,X-Men: Apocalypse,246655,PG-13
475,Predator 2,169,R
476,Penguins of Madagascar,270946,PG
477,"Ruby Gillman, Teenage Kraken",1040148,PG
478,Dark City,2666,R
479,Platoon,792,R
480,The Karate Kid,38575,PG
481,The Bad Guys,629542,PG
482,Planet of the Apes,869,PG-13
483,Heart of Stone,724209,PG-13
484,Willy Wonka & the Chocolate Factory,252,G
485,No Hard Feelings,884605,R
486,Soul,508442,PG
487,Maid in Sweden,47570,R
488,Nimona,961323,PG
489,Bohemian Rhapsody,424694,PG-13
490,Cruella,337404,PG-13
491,Knights of the Zodiac,455476,PG-13
492,The King's Man,476669,R
493,Transformers: Age of Extinction,91314,PG-13
494,The Smurfs: A Christmas Carol,79443,PG
495,Ice Age: Dawn of the Dinosaurs,8355,PG
496,The Truman Show,37165,PG
497,The Conjuring 2,259693,R
498,No Country for Old Men,6977,R
499,American Fiction,1056360,R
500,"Snoopy Presents: Welcome Home, Franklin",1128606,G
501,The Shack,345938,PG-13
502,The Lobster,254320,R
503,The Croods: A New Age,529203,PG
504,Star Wars: The Last Jedi,181808,PG-13
505,Hell Hath No Fury,877013,R
506,The Fifth Element,18,PG-13
507,Annabelle: Creation,396422,R
508,Stand by Me,235,R
509,Kandahar,717930,R
510,Don't Look Up,646380,R
511,No One Will Save You,820609,PG-13
512,Thor,10195,PG-13
513,Ted,72105,R
514,Scream 2,4233,R
515,Jurassic World: Fallen Kingdom,351286,PG-13
516,Tomb Raider,338970,PG-13
517,American Pie,2105,R
518,Planet of the Apes,871,G
519,Sneakers,2322,PG-13
520,Late Night with the Devil,938614,R
521,Kingdom of Heaven,1495,R
522,The Predator,346910,R
523,Red Sparrow,401981,R
524,After We Collided,613504,R
525,Wreck-It Ralph,82690,PG
526,The Equalizer 2,345887,R
527,The Boss Baby: Family Business,459151,PG
528,Fargo,275,R
529,Man of Steel,49521,PG-13
530,Pixels,257344,PG-13
531,Percy Jackson & the Olympians: The Lightning Thief,32657,PG
532,Ice Age: Continental Drift,57800,PG
533,The Hunger Games: Catching Fire,101299,PG-13
534,The Hunt,514847,R
535,Furious 7,168259,PG-13
536,Trading Places,1621,R
537,Bad Boys for Life,38700,R
538,Bad Boys for Life,38700,R
539,The Dark Knight Rises,49026,PG-13
540,Boyka: Undisputed IV,348893,R
541,Guardians of the Galaxy Vol. 2,283995,PG-13
542,Night Swim,1072342,PG-13
543,Next Goal Wins,621587,PG-13
544,Return of the Jedi,1892,PG
545,La La Land,313369,PG-13
546,The Matrix Resurrections,624860,R
547,Spirit: Stallion of the Cimarron,9023,G
548,I Am Legend,6479,PG-13
549,Inferno,10908,R
550,Species,9348,R
551,Léon: The Professional,101,R
552,Total Recall,861,R
553,The Departed,1422,R
554,May December,839369,R
555,Mid-Century,916735,R
556,After Ever Happy,744276,R
557,Knox Goes Away,972614,R
558,The Dark Tower,353491,PG-13
559,Pride & Prejudice,4348,PG
560,The Wizard of Oz,630,G
561,The Emoji Movie,378236,PG
562,Star Wars: The Force Awakens,140607,PG-13
563,Creepshow,16281,R
564,Rush Hour,2109,PG-13
565,Secret of the Wings,75258,G
566,The Abyss,2756,PG-13
567,Mulan,337401,PG-13
568,Knives Out,546554,PG-13
569,Scouts Guide to the Zombie Apocalypse,273477,R
570,Grease,621,PG
571,Fear,880100,R
572,Star Wars: The Rise of Skywalker,181812,PG-13
573,War of the Worlds,74,PG-13
574,Hereditary,493922,R
575,Challengers,937287,R
576,Rush Hour 2,5175,PG-13
577,American Gangster,4982,R
578,Corpse Bride,3933,PG
579,Alita: Battle Angel,399579,PG-13
580,X-Men: Days of Future Past,127585,PG-13
581,The Last Samurai,616,R
582,Madagascar,953,PG
583,The Incredibles,9806,PG
584,Blended,232672,PG-13
585,Mission: Impossible,954,PG-13
586,Saltburn,930564,R
587,Muzzle,939335,R
588,Chinatown,829,R
589,Muzzle,939335,R
590,Chinatown,829,R
591,Brave,62177,PG
592,Project X,57214,R
593,Monsters University,62211,G
594,The SpongeBob SquarePants Movie,11836,PG
595,American Psycho,1359,R
596,Jumanji: Welcome to the Jungle,353486,PG-13
597,The Walking Dead: The Return,1246596,R
598,A Quiet Place Part II,520763,PG-13
599,A Beautiful Mind,453,PG-13
600,Hidden Figures,381284,PG
601,The Garfield Movie,748783,PG
602,The Curious Case of Benjamin Button,4922,PG-13
603,Insidious: The Red Door,614479,PG-13
604,Meet Joe Black,297,PG-13
605,Insurgent,262500,PG-13
606,Now You See Me,75656,PG-13
607,Aladdin,420817,PG
608,How to Train Your Dragon,10191,PG
609,Glass,450465,PG-13
610,First Blood,1368,R
611,Ice Age: The Meltdown,950,PG
612,The Whale,785084,R
613,Troy,652,R
614,Independence Day,602,PG-13
615,Rambo,7555,R
616,Ready Player One,333339,PG-13
617,Ready or Not,567609,R
618,Life,395992,R
619,The Rock,9802,R
620,Zombieland,19908,R
621,57 Seconds,937249,R
622,Rush Hour 3,5174,PG-13
623,Watchmen,13183,R
624,The Darkest Minds,445651,PG-13
625,Beetlejuice,4011,PG
626,Infinite,581726,PG-13
627,Aladdin,812,G
628,Black Hawk Down,855,R
629,Ghostbusters II,2978,PG
630,The Mask,854,PG-13
631,The Prestige,1124,PG-13
632,Sleeping Beauty,10882,G
633,Geostorm,274855,PG-13
634,Hocus Pocus 2,642885,PG
635,Rampage,427641,PG-13
636,Ocean's Eleven,161,PG-13
637,Edge of Tomorrow,137113,PG-13
638,The Interview,228967,R
639,The Simpsons Movie,35,PG-13
640,Peter Rabbit 2: The Runaway,522478,PG
641,Tropic Thunder,7446,R
642,Scream,646385,R
643,Maleficent,102651,PG
644,Paper Towns,286565,PG-13
645,Pearl,949423,R
646,True Romance,319,R
647,The Ice Age Adventures of Buck Wild,774825,PG
648,Frida,1214523,R
649,The Idea of You,843527,R
650,Incredibles 2,260513,PG
651,Flamin' Hot,626332,PG-13
652,Madagascar: Escape 2 Africa,10527,PG
653,13 Hours: The Secret Soldiers of Benghazi,300671,R
654,Hercules,184315,PG-13
655,Lilo & Stitch,11544,PG
656,Brother Bear,10009,G
657,2012,14161,PG-13
658,Mortal Kombat Legends: Scorpion's Revenge,664767,R
659,American Pie Presents: The Naked Mile,8275,R
660,Kingsman: The Golden Circle,343668,R
661,Tom & Jerry,587807,PG
662,Jupiter Ascending,76757,PG-13
663,Jupiter Ascending,76757,PG-13
664,The Mummy Returns,1734,PG-13
665,The Parent Trap,9820,PG
666,Wrong Turn,630586,R
667,The Hunger Games: Mockingjay - Part 2,131634,PG-13
668,Back to the Future Part II,165,PG
669,Constantine,561,R
670,Thriller Night,118249,G
671,Midsommar,530385,R
672,Maleficent: Mistress of Evil,420809,PG
673,Pokémon Detective Pikachu,447404,PG
674,Contagion,39538,PG-13
675,Raiders of the Lost Ark,85,PG
676,Hypnotic,536437,R
677,Rambo III,1370,R
678,Thor: The Dark World,76338,PG-13
679,Oblivion,75612,PG-13
680,The Greatest Game Ever Played,15487,PG
681,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),495764,R
682,The Great Wall,311324,PG-13
683,Taken 2,82675,PG-13
684,Breathe,720321,PG-13
685,Descendants 3,506574,PG
686,Need for Speed,136797,PG-13
687,Rambo: First Blood Part II,1369,R
688,The Iron Giant,10386,PG
689,Texas Chainsaw 3D,76617,R
690,Journey 2: The Mysterious Island,72545,PG
691,The Northman,639933,R
692,Call Me by Your Name,398818,R
693,Edward Scissorhands,162,PG-13
694,Drive,64690,R
695,Madagascar 3: Europe's Most Wanted,80321,PG
696,Rings,14564,PG-13
697,Teenage Mutant Ninja Turtles: Out of the Shadows,308531,PG-13
698,Men in Black,607,PG-13
699,Colonia,318781,R
700,The Boy in the Striped Pyjamas,14574,PG-13
701,Indiana Jones and the Last Crusade,89,PG-13
702,The Expendables,27578,R
703,The Exorcist,9552,R
704,Creed,312221,PG-13
705,Supervixens,5725,NC-17
706,Tomorrowland,158852,PG
707,Transformers: The Last Knight,335988,PG-13
708,Quantum of Solace,10764,PG-13
709,Twister,664,PG-13
710,The SpongeBob Movie: Sponge on the Run,400160,PG
711,The Meg,345940,PG-13
712,A Good Day to Die Hard,47964,R
713,Descendants,277217,G
714,Hansel & Gretel: Witch Hunters,60304,R
715,Blade Runner,78,R
716,Underworld,277,R
717,The Hangover Part II,45243,R
718,American Wedding,8273,R
719,Shark Tale,10555,PG
720,Casino Royale,36557,PG-13
721,The Matrix Reloaded,604,R
722,Spiral: From the Book of Saw,602734,R
723,Just Go with It,50546,PG-13
724,Maestro,523607,R
725,Ralph Breaks the Internet,404368,PG
726,Snatch,107,R
727,Angel Heart,635,R
728,The Menu,593643,R
729,Legally Blonde,8835,PG-13
730,Rio,46195,G
731,The Purge: Election Year,316727,R
732,Players,843617,R
733,Monster Hunter,458576,PG-13
734,Hellboy,456740,R
735,The Patriot,2024,R
736,Suburbicon,395458,R
737,Dredd,49049,R
738,Beast,760741,R
739,After.Life,36419,R
740,Beautiful Disaster,1016121,R
741,The Fate of the Furious,337339,PG-13
742,Tinker Bell and the Lost Treasure,25475,G
743,The Evil Dead,764,NC-17
744,Dumb and Dumber,8467,PG-13
745,Tinker Bell,13179,G
746,Peter Pan,10693,G
747,Bolt,13053,PG
748,Click,9339,PG-13
749,Scary Movie,4247,R
750,Cloudy with a Chance of Meatballs 2,109451,PG
751,Sherlock Holmes,10528,PG-13
752,Smile,882598,R
753,Armageddon,95,PG-13
754,The Aristocats,10112,G
755,Wind River,395834,R
756,Nightcrawler,242582,R
757,The Irishman,398978,R
758,Knock Knock,263472,R
759,The Fabelmans,804095,PG-13
760,Immaculate,1041613,R
761,Jigsaw,298250,R
762,A Haunting in Venice,945729,PG-13
763,Evil Dead,109428,R
764,Priscilla,1020006,R
765,The Jungle Book,9325,G
766,Plane,646389,R
767,Army of Thieves,796499,R
768,Knock at the Cabin,631842,R
769,Pacific Rim: Uprising,268896,PG-13
770,John Wick,245891,R
771,Wrong Turn,9902,R
772,Now You See Me 2,291805,PG-13
773,Wifelike,1001835,R
774,Warcraft,68735,PG-13
775,Life in a Year,447362,PG-13
776,All of Us Strangers,994108,R
777,65,700391,PG-13
778,Star Wars: Episode III - Revenge of the Sith,1895,PG-13
779,Dunkirk,374720,PG-13
780,Mission: Impossible - Rogue Nation,177677,PG-13
781,Mission: Impossible - Ghost Protocol,56292,PG-13
782,The Incredible Hulk,1724,PG-13
783,Battleship,44833,PG-13
784,Insidious: The Last Key,406563,PG-13
785,Independence Day: Resurgence,47933,PG-13
786,The Inventor,676727,PG
787,Sex Tape,225886,R
788,Hotel Transylvania,76492,PG
789,The Inventor,676727,PG
790,Sex Tape,225886,R
791,Hotel Transylvania,76492,PG
792,Operation Fortune: Ruse de Guerre,739405,R
793,The Help,50014,PG-13
794,The Nightmare Before Christmas,9479,PG
795,Ice Age: Collision Course,278154,PG
796,Fantastic Beasts: The Crimes of Grindelwald,338952,PG-13
797,Greyhound,516486,PG-13
798,The Fly,9426,R
799,The Grand Budapest Hotel,120467,R
800,Three Thousand Years of Longing,556694,R
801,E.T. the Extra-Terrestrial,601,PG
802,Highlander,8009,R
803,E.T. the Extra-Terrestrial,601,PG
804,Highlander,8009,R
805,The Grey,75174,R
806,One Hundred and One Dalmatians,12230,G
807,Shooter,7485,R
808,Rambo: Last Blood,522938,R
809,Ant-Man,102899,PG-13
